legacy_url,new_url,status,reason
"https://schillingspartners.com/news/managing-your-digital-reputation-has-more-in-common-with-your-financial-portfolio-than-you-think","https://schillingspartners.com/news/managing-your-digital-reputation-has-more-in-common-with-your-financial-portfolio-than-you-think/","301","news-migration"
"https://schillingspartners.com/news/maud-west-the-fearless-sleuth-in-disguise","https://schillingspartners.com/news/maud-west-the-fearless-sleuth-in-disguise/","301","news-migration"
"https://schillingspartners.com/news/no-comment-how-strategic-communication-can-strengthen-a-business-security","https://schillingspartners.com/news/no-comment-how-strategic-communication-can-strengthen-a-business-security/","301","news-migration"
"https://schillingspartners.com/news/online-data-protection-for-adults-is-not-working-according-to-research-commissioned-by-schillings","https://schillingspartners.com/news/online-data-protection-for-adults-is-not-working-according-to-research-commissioned-by-schillings/","301","news-migration"
"https://schillingspartners.com/news/online-file-sharing-translation-tools-privacy-at-risk","https://schillingspartners.com/news/online-file-sharing-translation-tools-privacy-at-risk/","301","news-migration"
"https://schillingspartners.com/news/partner-adam-wilkinson-speaks-to-the-sunday-times-about-security-stalkers-and-high-profile-sports-stars","https://schillingspartners.com/news/partner-adam-wilkinson-speaks-to-the-sunday-times-about-security-stalkers-and-high-profile-sports-stars/","301","news-migration"
"https://schillingspartners.com/news/peter-yapp-wins-outstanding-cyber-security-consultant-of-the-year","https://schillingspartners.com/news/peter-yapp-wins-outstanding-cyber-security-consultant-of-the-year/","301","news-migration"
"https://schillingspartners.com/news/phil-hartley-promoted-to-partner","https://schillingspartners.com/news/phil-hartley-promoted-to-partner/","301","news-migration"
"https://schillingspartners.com/news/post-pandemic-travel-risks-concerns-safety","https://schillingspartners.com/news/post-pandemic-travel-risks-concerns-safety/","301","news-migration"
"https://schillingspartners.com/news/pr-week-hat-trick-for-schillings-communications-victoria-obyrne-and-george-pascoe-watson","https://schillingspartners.com/news/pr-week-hat-trick-for-schillings-communications-victoria-obyrne-and-george-pascoe-watson/","301","news-migration"
